t(s) , h(t)(dm)
98.200000 , 0.127537
98.300000 , 0.127546
98.400000 , 0.127554
98.500000 , 0.127562
98.600000 , 0.127570
98.700000 , 0.127579
98.800000 , 0.127587
98.900000 , 0.127595
99.000000 , 0.127603
99.100000 , 0.127611
99.200000 , 0.127619
99.300000 , 0.127627
99.400000 , 0.127635
99.500000 , 0.127643
99.600000 , 0.127651
99.700000 , 0.127659
99.800000 , 0.127667
99.900000 , 0.127675
100.000000 , 0.127683
100.100000 , 0.127690
100.200000 , 0.127698
100.300000 , 0.127706
100.400000 , 0.127713
100.500000 , 0.127721
100.600000 , 0.127729
100.700000 , 0.127736
100.800000 , 0.127744
100.900000 , 0.127751
101.000000 , 0.127759
101.100000 , 0.127766
101.200000 , 0.127774
101.300000 , 0.127781
101.400000 , 0.127789
101.500000 , 0.127796
101.600000 , 0.127803
101.700000 , 0.127811
101.800000 , 0.127818
101.900000 , 0.127825
102.000000 , 0.127832
102.100000 , 0.127840
102.200000 , 0.127847
102.300000 , 0.127854
102.400000 , 0.127861
102.500000 , 0.127868
102.600000 , 0.127875
102.700000 , 0.127882
102.800000 , 0.127889
102.900000 , 0.127896
103.000000 , 0.127903
103.100000 , 0.127910
103.200000 , 0.127917
103.300000 , 0.127924
103.400000 , 0.127931
103.500000 , 0.127937
103.600000 , 0.127944
103.700000 , 0.127951
103.800000 , 0.127958
103.900000 , 0.127964
104.000000 , 0.127971
104.100000 , 0.127978
104.200000 , 0.127984
104.300000 , 0.127991
104.400000 , 0.127998
104.500000 , 0.128004
104.600000 , 0.128011
104.700000 , 0.128017
104.800000 , 0.128024
104.900000 , 0.128030
105.000000 , 0.128036
105.100000 , 0.128043
105.200000 , 0.128049
105.300000 , 0.128056
105.400000 , 0.128062
105.500000 , 0.128068
105.600000 , 0.128074
105.700000 , 0.128081
105.800000 , 0.128087
105.900000 , 0.128093
106.000000 , 0.128099
106.100000 , 0.128106
106.200000 , 0.128112
106.300000 , 0.128118
106.400000 , 0.128124
106.500000 , 0.128130
106.600000 , 0.128136
106.700000 , 0.128142
106.800000 , 0.128148
106.900000 , 0.128154
107.000000 , 0.128160
107.100000 , 0.128166
107.200000 , 0.128172
107.300000 , 0.128178
107.400000 , 0.128183
