waktu (s), Tinggi (m)
42.999916,0.001691
43.099915,0.001691
43.199913,0.001691
43.299911,0.001691
43.39991,0.001691
43.499908,0.001691
43.599907,0.001691
43.699905,0.001691
43.799904,0.001691
43.899902,0.001691
43.999901,0.001691
44.099899,0.001691
44.199898,0.001691
44.299896,0.001691
44.399895,0.001691
44.499893,0.001691
44.599892,0.001691
44.69989,0.001691
44.799889,0.001691
44.899887,0.001691
44.999886,0.001691
45.099884,0.001691
45.199883,0.001691
45.299881,0.001691
45.399879,0.001691
45.499878,0.001691
45.599876,0.001691
45.699875,0.001691
45.799873,0.001691
45.899872,0.001691
45.99987,0.001691
46.099869,0.001691
46.199867,0.001691
46.299866,0.001691
46.399864,0.001691
46.499863,0.001691
46.599861,0.001691
46.69986,0.001691
46.799858,0.001691
46.899857,0.001691
46.999855,0.001691
47.099854,0.001691
47.199852,0.001691
47.29985,0.001691
47.399849,0.001691
47.499847,0.001691
47.599846,0.001691
47.699844,0.001691
47.799843,0.001691
47.899841,0.001691
47.99984,0.001691
48.099838,0.001691
48.199837,0.001691
48.299835,0.001691
48.399834,0.001691
48.499832,0.001691
48.599831,0.001691
48.699829,0.001691
48.799828,0.001691
48.899826,0.001691
48.999825,0.001691
49.099823,0.001691
49.199821,0.001691
49.29982,0.001691
49.399818,0.001691
49.499817,0.001691
49.599815,0.001691
49.699814,0.001691
49.799812,0.001691
49.899811,0.001691
49.999809,0.001691
